OrgNo;Navn;AntallAnsatte;Naeringskode;Organisasjonsform;brregNavn
810463902;E Berentsen AS;0;68.209;AS;
810684402;BLOKKEN SKIPSVERFT EIENDOM AS;0;68.209;AS;
811320862;KLINGVIG AS;0;68.209;AS;
811445312;TRYGVE M ENGEBY AS;0;46.694;AS;
811550582;CAMPUS 4 AS;0;68.209;AS;
811564222;TORGHALLEN BODØ AS;0;68.320;AS;
811573582;BY1BIL AS;0;45.320;AS;
811576352;ØST BOLIGUTVIKLING AS;0;68.100;AS;
811576662;VESTAKSEN SENTRUM AS;0;41.109;AS;
811607002;ACEA DEVELOPMENT AS;3;68.209;AS;
811613932;Axelar AS;5;70.220;AS;
811620122;UTEPLASSEN.NO AS;5;47.919;AS;
811661392;ØYNEBRÅTEN ANLEGGSTEKNIKK AS;19;43.120;AS;
811717142;OLSEN AUTO JESSHEIM AS;9;45.200;AS;
811727962;Storebotn Utleie AS;0;68.209;AS;
811736252;STIFTELSEN SÆTRE GÅRD;17;56.101;STI;
811738042;NESTTUNVEGEN 99 INVEST AS;0;68.209;AS;
811765422;Skintonic Svolvær AS;5;47.750;AS;
811767662;SFD TECHNOLOGY AS;0;71.129;AS;
811780332;SIVILINGENIØR OLE HAMMARI AS;2;71.121;AS;
811780812;PER OLE OSKAL;4;01.490;ENK;
811783072;Lillebakk Holding AS;0;71.129;AS;
811786322;Kunstmaler Lars Tveit AS;0;;AS;
811851612;KARLSAUNE MASKIN AS;1;43.120;AS;
811855162;PLASSEN FLORØ AS;0;41.109;AS;
811864722;BB GYM TROMSØ AS;0;85.510;AS;
811867152;HANS-HENRIK FURULUND EIENDOM AS;0;68.209;AS;
811868892;PK PAINTING POVILAS KASELIS;2;43.341;ENK;
811880132;DIAMOND ROAD MUSIC AS;1;90.011;AS;
811903922;ECONOMICA AS;0;70.220;AS;
811927392;DANIELSEN EL-SUPORT V/JARLE BERNT DANIELSEN;0;71.129;ENK;
811932892;SALTENS DAMP EIENDOM AS;0;68.209;AS;
811956732;RØKENES GÅRD & GJESTEHUS AS;25;56.101;AS;
811987972;SØRESTRANDA EIENDOM AS;0;68.100;AS;
811996432;M7 Regnskap AS;0;69.201;AS;
811998222;RAYMOND ARONSEN TRANSPORT & GRAVING AS;1;43.120;AS;
812003402;JÆRENS ÆRVERDIGE FORENING FOR UISGE BEATHA'S FREMME;0;94.991;FLI;
812026542;Tronds Montasjeservice Trond Petter Michelsen;0;73.110;ENK;
812070592;Herbrandsen Invest AS;1;00.000;AS;
812084232;FOSEN DYREKLINIKK AS;7;75.000;AS;
812100882;NITRA AS;1;64.308;AS;
