OrgNo;Name
810463902;E Berentsen AS
810684402;BLOKKEN SKIPSVERFT EIENDOM AS
811320862;KLINGVIG AS
811445312;TRYGVE M ENGEBY AS
811550582;CAMPUS 4 AS
811564222;TORGHALLEN BODØ AS
811573582;BY1BIL AS
811576352;ØST BOLIGUTVIKLING AS
811576662;VESTAKSEN SENTRUM AS
811607002;ACEA DEVELOPMENT AS
811613932;Axelar AS
811620122;UTEPLASSEN.NO AS
811661392;ØYNEBRÅTEN ANLEGGSTEKNIKK AS
811717142;OLSEN AUTO JESSHEIM AS
811727962;Storebotn Utleie AS
811736252;STIFTELSEN SÆTRE GÅRD
811738042;NESTTUNVEGEN 99 INVEST AS
811765422;Skintonic Svolvær AS
811767662;SFD TECHNOLOGY AS
811780332;SIVILINGENIØR OLE HAMMARI AS
811780812;PER OLE OSKAL
811783072;Lillebakk Holding AS
811786322;Kunstmaler Lars Tveit AS
811851612;KARLSAUNE MASKIN AS
811855162;PLASSEN FLORØ AS
811864722;BB GYM TROMSØ AS
811867152;HANS-HENRIK FURULUND EIENDOM AS
811868892;PK PAINTING POVILAS KASELIS
811880132;DIAMOND ROAD MUSIC AS
811903922;ECONOMICA AS
811927392;DANIELSEN EL-SUPORT V/JARLE BERNT DANIELSEN
811932892;SALTENS DAMP EIENDOM AS
811956732;RØKENES GÅRD & GJESTEHUS AS
811987972;SØRESTRANDA EIENDOM AS
811996432;M7 Regnskap AS
811998222;RAYMOND ARONSEN TRANSPORT & GRAVING AS
812003402;JÆRENS ÆRVERDIGE FORENING FOR UISGE BEATHA'S FREMME
812026542;Tronds Montasjeservice Trond Petter Michelsen
812070592;Herbrandsen Invest AS
812084232;FOSEN DYREKLINIKK AS
812100882;NITRA AS
812105302;Sameiet Prinsens Gate 3b
812124072;Storenga AS
812159062;Askepotts Renhold AS
812159852;Veamyr Entreprenør AS
812164872;FOLKETS HUS NARVIK AS
812166972;TMG 61 HOLDING AS
812168142;DALE CAPITAL AS
812170112;BLOMSTERBAKKEN 2 AS
812172352;EVENES BYGDESERVICE AS
812178792;T&R HAUGEN MASKIN AS
